A,Aufsichtsrechts
RiSt(B),Beschwerden gegen die Nichtzulassung der Revision und Beschwerden der Richter, Staatsanwälte und Mitglieder des Bundesrechnungshofes gegen Disziplinarverfügungen (BGH)
RiSt(R),Revisionen in Disziplinarsachen nach dem Deutschen Richtergesetz (BGH)
RiZ,Anträge betreffend Richter im Bundesdienst und Mitglieder des Bundesrechnungshofes auf gerichtliche Entscheidung im Versetzungs- und Prüfungsverfahren sowie auf vorläufige Untersagung der Amtsgeschäfte (BGH)
RiZ(B),Beschwerden gegen die Nichtzulassung der Revision nach dem Deutschen Richtergesetz (BGH)
RiZ(R),Revisionen in Versetzungs- und Prüfungsverfahren nach dem Deutschen Richtergesetz (BGH)
RS,Zivilsachen (GenStA)
S,Berufungen in Zivilsachen (LG)
Sa,Berufungssachen (LArbG)
SBR,Schiffsbauregister (AG)
SH,Anträge außerhalb anhängiger Berufungsverfahren (LG)
SHa,Anträge außerhalb anhängiger Berufungsverfahren (LArbG)
Ss,Revisionen in Strafsachen und Rechtsbeschwerden in Bußgeldsachen (OLG)
Ss (B),Rechtsbeschwerden in Bußgeldsachen (OLG)
Ss (OWi),Rechtsbeschwerden in Bußgeldsachen (OLG)
SSR,Seeschiffsregister (AG)
StB,Beschwerden (BGH-Strafsachen)
StbSt(B),Beschwerden gegen die Nichtzulassung der Revision und Beschwerden in berufsgerichtlichen Verfahren in Steuerberater- und Steuerbevollmächtigtensachen (BGH, GenBAnw.)
StbSt(R),Revisionen in berufsgerichtlichen Verfahren in Steuerberater- und Steuerbevollmächtigtensachen (BGH, GenBAnw.)
StE,Strafsachen vor den Oberlandesgerichten, in denen der Generalbundesanwalt beim Bundesgerichtshof Anklage erhoben hat (GenBAnw.)
StR,Revisionen und Vorlegungssachen (BGH-Strafsachen, GenBAnw.)
StrEs,Register für Entschädigungssachen nach dem StrEG (GenStA)
StVK,Verfahren vor der Strafvollstreckungskammer (LG)
T,Beschwerden in Zivilsachen (LG)
T,Rechtssache (EuG) Beispiel: T-150/12: 150. Rechtssache (Rs.) im Jahr 2012
Ta,Allgemeine arbeitsgerichtliche Beschwerdesachen (LArbG)
TaBV,Beschwerdesachen in Beschlussverfahren (LArbG)
U,Berufungen in Zivilsachen (OLG)
UF,Berufungen und Beschwerden gegen Endentscheidungen in Familiensachen (OLG)
UFH,Anträge außerhalb anhängiger Berufungsverfahren in Familiensachen (OLG)
UH,Anträge außerhalb anhängiger Berufungsverfahren (OLG)
UJs,Ermittlungsverfahren gegen Unbekannt (StA)
UV,Unterbringungsverfahren (AG)
V,Auseinandersetzungen (AG)
VA,Entscheidungen über Justizverwaltungsakte in Zivilsachen (OLG)
VAs,Entscheidungen über Justizverwaltungsakte in Strafsachen (OLG)
VerwB,Verwahrungsbuch für Verfügungen von Todes wegen (AG)
VGS,Vereinigte Große Senate (Zivil- und Strafsenate-BGH)
VN,Vergleichsverfahren (AG)
Vollz,Verfahren vor der Strafvollstreckungskammer nach §§ 109, 110 StVollzG (LG)
Vollz (Ws),Verfahren vor dem Strafsenat nach §§ 116, 117 StVollzG (OLG)
VR,Vereinsregister (AG)
VRG,Ersuchen des Bundesverfassungsgerichts zu Vorlagen nach Art. 100 GG und zu Verfassungsbeschwerden (Zivil- und Strafsenate-BGH)
VRJs,Vollstreckungsregister für Jugendgerichtssachen (AG)
VRs,Strafvollstreckungssachen (StA)
Vs,Revisionen in Privatklagesachen (OLG)
W,Beschwerden in Zivilsachen (OLG)
W-(pat),Beschwerden in Patent-, Gebrauchsmuster-, Sortenschutz- und Warenzeichensachen (BPatG)
WF,Sonstige Beschwerden in Familiensachen (OLG)
WpSt(B),Beschwerden gegen die Nichtzulassung der Revision und Beschwerden in berufsgerichtlichen Verfahren in Wirtschaftsprüfersachen (BGH, GenBAnw.)
WpSt(R),Revisionen in berufsgerichtlichen Verfahren in Wirtschaftsprüfersachen (BGH, GenBAnw.)
Ws,Beschwerden in Straf- und Bußgeldsachen (OLG)
Ww,Beschwerden in Landwirtschaftssachen (OLG)
Wx,Weitere Beschwerden in freiwilliger Gerichtsbarkeit (OLG)
ZA,Anträge außerhalb eines in der Rechtsmittelinstanz anhängigen Verfahrens (BGH-Zivilsachen)
ZA-(Pat),Anträge außerhalb anhängiger Patentsachen (BPatG)
ZB,Beschwerden, Rechtsbeschwerden, weitere Beschwerden, Beschwerden gegen die Nichtzulassung der Revision nach dem BEG (BGH-Zivilsachen)
ZR,Revisionen, Beschwerden gegen die Nichtzulassung der Revision, Anträge auf Zulassung der Sprungrevision, Berufungen in Patentsachen (BGH-Zivilsachen)
ZR(Ü),Erstinstanzliche Klagen auf Entschädigung wegen überlanger Gerichtsverfahren und strafrechtlicher Ermittlungsverfahren (BGH-Zivilsachen)
Zs,Beschwerden gegen Amts- und Staatsanwälte (GenStA)
